,Tree_code,size,Species,Year,DriestQPRCP,WettestMonthPRCP,DriestMonthPRCP,TotalPRCP,HottestMonthTMAX,HottestMonthTAVG,CoolestMonthTAVG,CoolestMonthTMIN,TotalAnnualTemperature,PRCP_Seasonality,HEAT_Seasonality,COOL_Seasonality,Ca,Ci
119,CT060,27,Chukrasia_tabularis,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,215.163571
120,CT060,8,Chukrasia_tabularis,1960,1,179,0,886,39.3,33,24.2,17.4,344.6,0.001128668,0.095763204,0.070226349,316.8,215.2613428
121,CT061,27,Chukrasia_tabularis,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,193.8250986
122,CT061,8,Chukrasia_tabularis,1951,46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767956,0.094289898,0.072620791,312.4,186.8936595
123,CT062,8,Chukrasia_tabularis,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,229.0704851
124,CT063,8,Chukrasia_tabularis,1950,19,293,0,1141,38.3,31.5,23.5,16.9,340.5,0.01665206,0.092511013,0.069016153,312,195.7377587
125,CT064,8,Chukrasia_tabularis,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,236.4366051
126,CT065,27,Chukrasia_tabularis,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,183.9661967
127,CT071,27,Chukrasia_tabularis,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,187.9507371
128,CT072,8,Chukrasia_tabularis,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,226.7244741
129,CT073,27,Chukrasia_tabularis,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,204.340417
130,CT074,27,Chukrasia_tabularis,1950,19,293,0,1141,38.3,31.5,23.5,16.9,340.5,0.01665206,0.092511013,0.069016153,312,189.8728004
131,CT076,27,Chukrasia_tabularis,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,213.4171976
132,CT077,8,Chukrasia_tabularis,1951,46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767956,0.094289898,0.072620791,312.4,213.5412157
133,CT078,8,Chukrasia_tabularis,1956,40,240,0,1349,37.1,30.5,23,14.5,326.7,0.029651594,0.093357821,0.070400979,314.6,210.6654326
134,CT079,27,Chukrasia_tabularis,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,208.5511786
135,CT079,8,Chukrasia_tabularis,1948,41,250,0,1159,37.2,30.6,24.4,16.6,339.1,0.035375324,0.090238868,0.071955175,311.3,204.1817598
136,CT080,8,Chukrasia_tabularis,1958,89,291,0,901,38.5,32.1,23.5,15.7,340.8,0.098779134,0.094190141,0.068955399,315.7,205.8626753
137,CT081,8,Chukrasia_tabularis,1952,87,376,0,1352,38.3,31.3,23.4,16.5,341.9,0.064349112,0.091547236,0.068441065,312.8,205.0739724
138,CT082,8,Chukrasia_tabularis,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,213.765305
139,CT091,27,Chukrasia_tabularis,1974,13,270,0,1116,37,31.3,25.1,17.2,338.6,0.011648746,0.092439457,0.074128766,330.1,209.3174704
140,CT097,8,Chukrasia_tabularis,2003,89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.080035971,0.093601896,0.072274882,375.7741667,244.8940892
141,CT098,8,Chukrasia_tabularis,1985,27,270,0,1198,38.8,31.6,24,18.3,336.4,0.022537563,0.093935791,0.071343639,345.7,241.8598276
142,CT099,8,Chukrasia_tabularis,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,245.4540463
143,CT105,8,Chukrasia_tabularis,1990,74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.070678128,0.092759523,0.072404769,354,223.2007268
144,CT110,8,Chukrasia_tabularis,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,224.7774593
