"","size","Species","DriestQPRCP","WettestMonthPRCP","DriestMonthPRCP","TotalPRCP","HottestMonthTMAX","HottestMonthTAVG","CoolestMonthTAVG","CoolestMonthTMIN","TotalAnnualTemperature","PRCP_Seasonality","HEAT_Seasonality","COOL_Seasonality","Ca","Ci"
"178",27,"Melia_azedarach",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,214.30055784326
"179",8,"Melia_azedarach",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,210.380527005199
"180",8,"Melia_azedarach",18,263,0,842,39.4,32.3,23.9,16.9,340,0.0213776722090261,0.095,0.0702941176470588,352.8,224.589342967192
"181",8,"Melia_azedarach",89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.0800359712230216,0.0936018957345972,0.0722748815165877,375.774166666667,248.202929010456
"182",27,"Melia_azedarach",178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859437751,0.0937313432835821,0.0734328358208955,326.2,204.561222449464
"183",8,"Melia_azedarach",33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.0225102319236016,0.0954356846473029,0.0693538826318909,319.4,206.11323146869
"184",27,"Melia_azedarach",17,246,0,1101,38.1,32.7,24.5,16.6,346.6,0.0154405086285195,0.0943450663589152,0.0706866705135603,327.3,206.650585221624
"185",8,"Melia_azedarach",134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.12082957619477,0.0928108426635239,0.0692398350029464,319.9,221.907278064527
"186",8,"Melia_azedarach",79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.0484960098219767,0.0935637663885578,0.0712157330154946,351.3,220.369410291551
"187",8,"Melia_azedarach",169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700690713738,0.0913187143286272,0.0717933313307299,362.5875,226.472510886728
"188",27,"Melia_azedarach",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,204.259925455968
